order_date,year,quarter,month,month_name,region,country,category,subcategory,customer_segment,quantity,unit_price,revenue,cost,profit,profit_margin
2022-01-28,2022,1,1,January,Europe,Spain,Furniture,Desks,Corporate,8,147.15,1177.2,888.68,288.52,0.2451
2022-05-03,2022,2,5,May,North America,United States,Office Supplies,Binders,Corporate,5,15.61,78.05,42.76,35.29,0.4521
2024-06-27,2024,2,6,June,North America,United States,Office Supplies,Binders,Home Office,11,8.16,89.76,49.8,39.96,0.4452
2023-08-14,2023,3,8,August,Asia Pacific,China,Office Supplies,Appliances,Corporate,1,84.12,84.12,58.2,25.92,0.3081
2023-04-01,2023,2,4,April,Europe,Germany,Office Supplies,Binders,Small Business,13,20.17,262.21,133.88,128.33,0.4894
2022-04-17,2022,2,4,April,Asia Pacific,China,Clothing,Men,Home Office,5,169.51,847.55,373.07,474.48,0.5598
2022-06-10,2022,2,6,June,North America,Mexico,Clothing,Women,Consumer,14,162.25,2271.5,1135.0,1136.5,0.5003
2024-07-07,2024,3,7,July,Asia Pacific,Japan,Furniture,Desks,Consumer,7,467.98,3275.86,2492.76,783.1,0.2391
2024-05-15,2024,2,5,May,North America,Canada,Furniture,Desks,Corporate,17,900.02,15300.34,10205.73,5094.61,0.333
2022-06-20,2022,2,6,June,North America,Canada,Electronics,Wearables,Consumer,10,419.25,4192.5,2765.91,1426.59,0.3403
2024-02-08,2024,1,2,February,Asia Pacific,India,Furniture,Tables,Consumer,18,698.15,12566.7,7155.78,5410.92,0.4306
2024-10-22,2024,4,10,October,North America,Canada,Electronics,Laptops,Consumer,12,1533.76,18405.12,15840.91,2564.21,0.1393
2022-05-26,2022,2,5,May,Latin America,Chile,Furniture,Tables,Corporate,14,982.7,13757.8,11253.43,2504.37,0.182
2023-12-15,2023,4,12,December,North America,Mexico,Electronics,Wearables,Home Office,17,484.2,8231.4,6462.43,1768.97,0.2149
2023-05-12,2023,2,5,May,Europe,United Kingdom,Office Supplies,Appliances,Small Business,16,29.66,474.56,340.89,133.67,0.2817
2024-07-21,2024,3,7,July,Asia Pacific,China,Office Supplies,Binders,Consumer,5,11.88,59.4,38.53,20.87,0.3513
2024-02-27,2024,1,2,February,Latin America,Argentina,Electronics,Phones,Corporate,13,920.77,11970.01,10453.14,1516.87,0.1267
2023-06-02,2023,2,6,June,North America,United States,Clothing,Women,Small Business,10,115.14,1151.4,657.02,494.38,0.4294
2022-07-02,2022,3,7,July,Latin America,Peru,Furniture,Storage,Small Business,4,456.24,1824.96,1386.43,438.53,0.2403
2024-03-26,2024,1,3,March,Europe,Germany,Electronics,Laptops,Home Office,10,612.2,6122.0,4063.68,2058.32,0.3362
2023-08-14,2023,3,8,August,Europe,United Kingdom,Electronics,Wearables,Corporate,14,177.26,2481.64,1780.35,701.29,0.2826
2023-03-12,2023,1,3,March,Asia Pacific,Japan,Furniture,Chairs,Consumer,6,146.48,878.88,661.34,217.54,0.2475
2022-08-12,2022,3,8,August,Asia Pacific,Japan,Electronics,Wearables,Consumer,6,125.49,752.94,483.6,269.34,0.3577
2022-07-26,2022,3,7,July,North America,United States,Furniture,Desks,Corporate,1,198.15,198.15,149.2,48.95,0.247
2024-12-05,2024,4,12,December,North America,Mexico,Clothing,Men,Consumer,1,73.86,73.86,41.84,32.02,0.4335
2024-05-29,2024,2,5,May,Latin America,Chile,Clothing,Footwear,Small Business,11,107.73,1185.03,811.57,373.46,0.3151
2022-04-28,2022,2,4,April,Latin America,Argentina,Clothing,Footwear,Consumer,12,229.28,2751.36,1810.41,940.95,0.342
2022-09-09,2022,3,9,September,North America,Mexico,Furniture,Desks,Consumer,17,477.72,8121.24,5999.98,2121.26,0.2612
2023-01-20,2023,1,1,January,Asia Pacific,India,Furniture,Storage,Corporate,1,690.74,690.74,558.49,132.25,0.1915
2023-10-29,2023,4,10,October,Asia Pacific,China,Office Supplies,Paper,Home Office,15,9.31,139.65,85.17,54.48,0.3901
2022-07-25,2022,3,7,July,Asia Pacific,China,Furniture,Storage,Home Office,13,226.89,2949.57,1777.62,1171.95,0.3973
2022-06-28,2022,2,6,June,North America,Mexico,Clothing,Men,Consumer,10,151.5,1515.0,1089.01,425.99,0.2812
2024-09-14,2024,3,9,September,Latin America,Colombia,Electronics,Wearables,Home Office,18,217.31,3911.58,2640.42,1271.16,0.325
2023-10-31,2023,4,10,October,Asia Pacific,China,Electronics,Phones,Consumer,13,977.99,12713.87,8611.08,4102.79,0.3227
2024-12-30,2024,4,12,December,North America,Canada,Clothing,Men,Corporate,16,25.38,406.08,252.33,153.75,0.3786
2024-02-12,2024,1,2,February,Asia Pacific,Singapore,Clothing,Men,Corporate,13,121.17,1575.21,1025.82,549.39,0.3488
2023-08-19,2023,3,8,August,Latin America,Colombia,Clothing,Women,Consumer,3,33.39,100.17,50.97,49.2,0.4912
2022-09-18,2022,3,9,September,Europe,Germany,Office Supplies,Paper,Corporate,11,28.76,316.36,202.59,113.77,0.3596
2024-05-17,2024,2,5,May,North America,United States,Office Supplies,Binders,Small Business,11,27.91,307.01,218.95,88.06,0.2868
2022-01-19,2022,1,1,January,Latin America,Argentina,Furniture,Desks,Consumer,18,1211.02,21798.36,13848.5,7949.86,0.3647
2022-10-29,2022,4,10,October,Asia Pacific,India,Clothing,Footwear,Corporate,10,53.3,533.0,326.68,206.32,0.3871
2022-09-10,2022,3,9,September,Asia Pacific,China,Office Supplies,Writing,Corporate,9,19.94,179.46,122.6,56.86,0.3168
2023-11-14,2023,4,11,November,Europe,Germany,Furniture,Storage,Consumer,5,584.68,2923.4,1774.11,1149.29,0.3931
2023-01-02,2023,1,1,January,Asia Pacific,Japan,Office Supplies,Paper,Home Office,16,22.64,362.24,198.76,163.48,0.4513
2024-08-27,2024,3,8,August,Asia Pacific,Japan,Clothing,Footwear,Consumer,12,201.37,2416.44,1268.97,1147.47,0.4749
2024-03-17,2024,1,3,March,Europe,France,Electronics,Laptops,Corporate,4,848.71,3394.84,2768.8,626.04,0.1844
2022-12-02,2022,4,12,December,Europe,United Kingdom,Clothing,Kids,Consumer,5,57.49,287.45,159.36,128.09,0.4456
2022-01-19,2022,1,1,January,Latin America,Argentina,Electronics,Laptops,Small Business,12,1979.32,23751.84,18281.25,5470.59,0.2303
2022-12-11,2022,4,12,December,Asia Pacific,Japan,Furniture,Storage,Corporate,2,94.35,188.7,153.42,35.28,0.187
2022-11-01,2022,4,11,November,North America,United States,Electronics,Accessories,Corporate,13,44.3,575.9,374.85,201.05,0.3491
2024-02-08,2024,1,2,February,Europe,France,Office Supplies,Binders,Corporate,3,28.11,84.33,62.02,22.31,0.2646
2022-09-03,2022,3,9,September,Asia Pacific,India,Office Supplies,Appliances,Consumer,4,43.14,172.56,105.51,67.05,0.3886
2022-07-13,2022,3,7,July,Asia Pacific,Singapore,Electronics,Wearables,Consumer,6,298.86,1793.16,1577.96,215.2,0.12
2023-01-14,2023,1,1,January,Asia Pacific,India,Office Supplies,Paper,Consumer,13,24.95,324.35,148.07,176.28,0.5435
2022-09-12,2022,3,9,September,Europe,Italy,Clothing,Footwear,Consumer,7,251.69,1761.83,1210.79,551.04,0.3128
2023-10-06,2023,4,10,October,North America,Mexico,Office Supplies,Paper,Corporate,4,4.06,16.24,10.39,5.85,0.3602
2022-09-13,2022,3,9,September,Asia Pacific,China,Office Supplies,Paper,Consumer,17,11.06,188.02,144.56,43.46,0.2311
2024-11-29,2024,4,11,November,North America,Mexico,Electronics,Accessories,Consumer,10,102.28,1022.8,752.45,270.35,0.2643
2024-11-11,2024,4,11,November,Europe,France,Office Supplies,Writing,Corporate,7,14.07,98.49,65.86,32.63,0.3313
2023-03-17,2023,1,3,March,North America,United States,Electronics,Accessories,Small Business,5,94.3,471.5,318.81,152.69,0.3238
2023-06-07,2023,2,6,June,Europe,Germany,Office Supplies,Appliances,Consumer,9,126.9,1142.1,854.53,287.57,0.2518
2022-10-21,2022,4,10,October,Europe,United Kingdom,Clothing,Footwear,Home Office,18,67.31,1211.58,728.72,482.86,0.3985
2024-11-13,2024,4,11,November,North America,Mexico,Office Supplies,Binders,Corporate,6,17.01,102.06,51.1,50.96,0.4993
2022-09-13,2022,3,9,September,Latin America,Colombia,Furniture,Desks,Consumer,18,260.79,4694.22,3276.85,1417.37,0.3019
2022-10-27,2022,4,10,October,North America,Mexico,Electronics,Accessories,Small Business,8,48.31,386.48,249.46,137.02,0.3545
2022-09-10,2022,3,9,September,Latin America,Argentina,Furniture,Chairs,Small Business,6,310.87,1865.22,1466.79,398.43,0.2136
2023-08-01,2023,3,8,August,Europe,Spain,Electronics,Accessories,Corporate,18,47.95,863.1,557.35,305.75,0.3542
2024-12-24,2024,4,12,December,North America,Canada,Clothing,Footwear,Consumer,18,161.9,2914.2,1958.0,956.2,0.3281
2022-10-20,2022,4,10,October,Europe,Germany,Electronics,Laptops,Corporate,13,1678.37,21818.81,15044.42,6774.39,0.3105
2024-05-06,2024,2,5,May,Latin America,Chile,Office Supplies,Binders,Corporate,15,9.68,145.2,112.6,32.6,0.2245
2023-04-14,2023,2,4,April,Asia Pacific,Singapore,Electronics,Wearables,Corporate,10,442.31,4423.1,2842.31,1580.79,0.3574
2023-05-07,2023,2,5,May,North America,Canada,Clothing,Men,Consumer,3,38.07,114.21,47.78,66.43,0.5816
2024-05-18,2024,2,5,May,Asia Pacific,Singapore,Clothing,Men,Home Office,17,168.52,2864.84,1271.01,1593.83,0.5563
2023-01-25,2023,1,1,January,Europe,Italy,Office Supplies,Appliances,Consumer,1,219.96,219.96,149.98,69.98,0.3181
2022-12-12,2022,4,12,December,Asia Pacific,Japan,Clothing,Men,Corporate,17,163.65,2782.05,1268.45,1513.6,0.5441
2024-02-16,2024,1,2,February,Europe,Germany,Furniture,Chairs,Consumer,6,233.51,1401.06,813.42,587.64,0.4194
2024-09-16,2024,3,9,September,Latin America,Argentina,Clothing,Men,Consumer,10,55.01,550.1,220.43,329.67,0.5993
2024-11-21,2024,4,11,November,Asia Pacific,Australia,Electronics,Accessories,Home Office,2,140.96,281.92,240.21,41.71,0.1479
2023-12-26,2023,4,12,December,Asia Pacific,China,Furniture,Storage,Consumer,4,33.45,133.8,105.75,28.05,0.2096
2022-06-23,2022,2,6,June,North America,Canada,Electronics,Wearables,Corporate,17,373.16,6343.72,4186.63,2157.09,0.34
2024-03-20,2024,1,3,March,North America,Canada,Electronics,Accessories,Consumer,12,51.9,622.8,455.5,167.3,0.2686
2024-06-18,2024,2,6,June,North America,Canada,Electronics,Wearables,Corporate,6,159.73,958.38,780.35,178.03,0.1858
2022-10-01,2022,4,10,October,North America,Mexico,Electronics,Laptops,Consumer,13,1400.01,18200.13,12851.39,5348.74,0.2939
2023-06-29,2023,2,6,June,North America,Mexico,Electronics,Wearables,Home Office,4,320.02,1280.08,976.74,303.34,0.237
2024-03-07,2024,1,3,March,Asia Pacific,Japan,Furniture,Storage,Corporate,5,103.52,517.6,299.76,217.84,0.4209
2023-04-30,2023,2,4,April,North America,United States,Furniture,Chairs,Small Business,2,387.55,775.1,497.91,277.19,0.3576
2022-06-19,2022,2,6,June,Latin America,Brazil,Furniture,Tables,Consumer,14,332.7,4657.8,2753.57,1904.23,0.4088
2023-05-22,2023,2,5,May,Europe,Germany,Electronics,Phones,Small Business,14,438.49,6138.86,4933.68,1205.18,0.1963
2022-11-01,2022,4,11,November,Asia Pacific,Singapore,Office Supplies,Binders,Home Office,8,7.73,61.84,36.02,25.82,0.4175
2023-02-13,2023,1,2,February,North America,United States,Clothing,Footwear,Consumer,3,227.17,681.51,355.55,325.96,0.4783
2024-11-10,2024,4,11,November,Europe,Germany,Electronics,Wearables,Corporate,14,447.01,6258.14,4375.16,1882.98,0.3009
2022-04-08,2022,2,4,April,North America,Canada,Clothing,Footwear,Consumer,6,27.9,167.4,69.75,97.65,0.5833
2022-07-26,2022,3,7,July,Asia Pacific,Japan,Electronics,Accessories,Home Office,14,35.88,502.32,435.29,67.03,0.1334
2022-09-24,2022,3,9,September,Europe,France,Electronics,Phones,Corporate,11,592.54,6517.94,5413.86,1104.08,0.1694
2023-07-20,2023,3,7,July,Asia Pacific,Singapore,Office Supplies,Writing,Consumer,7,12.1,84.7,40.55,44.15,0.5213
2023-01-26,2023,1,1,January,North America,Mexico,Office Supplies,Paper,Consumer,7,22.03,154.21,116.49,37.72,0.2446
2023-02-18,2023,1,2,February,North America,Mexico,Office Supplies,Writing,Small Business,18,14.69,264.42,122.81,141.61,0.5355
2024-07-07,2024,3,7,July,North America,Mexico,Office Supplies,Writing,Home Office,4,18.31,73.24,34.59,38.65,0.5277
2022-09-22,2022,3,9,September,Europe,Italy,Clothing,Women,Corporate,10,19.54,195.4,113.56,81.84,0.4188
2024-12-26,2024,4,12,December,Asia Pacific,Japan,Office Supplies,Appliances,Corporate,17,292.03,4964.51,2505.2,2459.31,0.4954
2023-07-11,2023,3,7,July,Asia Pacific,Australia,Office Supplies,Appliances,Consumer,7,71.54,500.78,251.79,248.99,0.4972
2024-12-11,2024,4,12,December,North America,Mexico,Electronics,Wearables,Corporate,9,252.94,2276.46,1541.82,734.64,0.3227
2023-05-03,2023,2,5,May,Asia Pacific,Singapore,Electronics,Laptops,Consumer,10,674.27,6742.7,4440.18,2302.52,0.3415
2023-05-25,2023,2,5,May,Latin America,Argentina,Electronics,Phones,Corporate,7,757.87,5305.09,3291.09,2014.0,0.3796
2023-06-25,2023,2,6,June,Europe,Italy,Clothing,Kids,Consumer,5,53.73,268.65,160.03,108.62,0.4043
2023-03-26,2023,1,3,March,North America,United States,Office Supplies,Paper,Small Business,9,7.77,69.93,53.89,16.04,0.2294
2023-06-12,2023,2,6,June,Europe,Italy,Electronics,Wearables,Home Office,18,197.51,3555.18,2612.94,942.24,0.265
2023-04-20,2023,2,4,April,North America,United States,Office Supplies,Appliances,Consumer,14,123.22,1725.08,1289.87,435.21,0.2523
2024-10-01,2024,4,10,October,North America,United States,Furniture,Desks,Consumer,6,948.88,5693.28,3163.66,2529.62,0.4443
2022-05-28,2022,2,5,May,North America,United States,Clothing,Women,Consumer,14,61.5,861.0,594.88,266.12,0.3091
2022-01-25,2022,1,1,January,Latin America,Brazil,Office Supplies,Binders,Small Business,4,15.71,62.84,28.71,34.13,0.5431
2022-01-28,2022,1,1,January,Asia Pacific,China,Electronics,Phones,Consumer,1,1159.74,1159.74,751.1,408.64,0.3524
2024-09-10,2024,3,9,September,Asia Pacific,India,Clothing,Men,Consumer,15,148.63,2229.45,1111.08,1118.37,0.5016
2022-09-10,2022,3,9,September,Europe,Germany,Electronics,Accessories,Corporate,1,125.49,125.49,81.16,44.33,0.3533
2023-04-05,2023,2,4,April,North America,Mexico,Clothing,Footwear,Consumer,1,72.86,72.86,38.13,34.73,0.4767
2022-08-19,2022,3,8,August,Europe,France,Electronics,Wearables,Corporate,16,176.65,2826.4,1833.3,993.1,0.3514
2022-06-23,2022,2,6,June,North America,Canada,Furniture,Tables,Consumer,2,696.6,1393.2,833.24,559.96,0.4019
2023-09-10,2023,3,9,September,Europe,Italy,Electronics,Wearables,Consumer,10,278.58,2785.8,1802.47,983.33,0.353
2022-11-01,2022,4,11,November,Latin America,Chile,Clothing,Men,Small Business,5,64.44,322.2,169.15,153.05,0.475
2023-07-25,2023,3,7,July,Asia Pacific,Australia,Clothing,Men,Corporate,5,25.38,126.9,91.16,35.74,0.2816
2024-04-27,2024,2,4,April,North America,Canada,Furniture,Storage,Consumer,11,122.61,1348.71,1085.56,263.15,0.1951
2024-10-05,2024,4,10,October,Latin America,Colombia,Furniture,Storage,Corporate,18,389.26,7006.68,4289.01,2717.67,0.3879
2023-04-27,2023,2,4,April,North America,Mexico,Furniture,Desks,Corporate,12,123.67,1484.04,1214.47,269.57,0.1816
2022-05-03,2022,2,5,May,North America,Mexico,Furniture,Desks,Home Office,12,581.9,6982.8,5441.83,1540.97,0.2207
2024-05-12,2024,2,5,May,Asia Pacific,Japan,Electronics,Laptops,Small Business,8,1000.4,8003.2,5429.31,2573.89,0.3216
2022-02-23,2022,1,2,February,Asia Pacific,China,Clothing,Women,Consumer,14,88.05,1232.7,769.76,462.94,0.3755
2024-01-19,2024,1,1,January,Asia Pacific,China,Furniture,Desks,Consumer,5,221.11,1105.55,631.06,474.49,0.4292
2022-10-14,2022,4,10,October,Europe,Spain,Electronics,Laptops,Corporate,17,1927.27,32763.59,22864.79,9898.8,0.3021
2022-11-16,2022,4,11,November,Europe,France,Furniture,Chairs,Consumer,2,489.98,979.96,547.48,432.48,0.4413
2024-07-19,2024,3,7,July,Asia Pacific,Singapore,Electronics,Wearables,Small Business,18,485.5,8739.0,6004.52,2734.48,0.3129
2023-07-11,2023,3,7,July,Europe,France,Office Supplies,Appliances,Home Office,3,166.02,498.06,384.86,113.2,0.2273
2023-01-12,2023,1,1,January,North America,United States,Furniture,Chairs,Consumer,18,350.57,6310.26,3602.19,2708.07,0.4292
2022-12-04,2022,4,12,December,Asia Pacific,Australia,Furniture,Storage,Small Business,2,568.24,1136.48,823.49,312.99,0.2754
2023-11-19,2023,4,11,November,North America,United States,Electronics,Accessories,Corporate,1,43.53,43.53,28.83,14.7,0.3377
2023-02-18,2023,1,2,February,North America,United States,Office Supplies,Writing,Consumer,2,5.57,11.14,5.33,5.81,0.5215
2023-10-07,2023,4,10,October,Europe,United Kingdom,Office Supplies,Appliances,Consumer,3,284.18,852.54,386.03,466.51,0.5472
2024-03-11,2024,1,3,March,Europe,France,Clothing,Women,Consumer,12,214.51,2574.12,1608.44,965.68,0.3751
2022-11-04,2022,4,11,November,North America,Canada,Clothing,Men,Corporate,1,109.82,109.82,57.36,52.46,0.4777
2022-06-11,2022,2,6,June,Europe,United Kingdom,Electronics,Laptops,Corporate,3,2410.35,7231.05,4918.62,2312.43,0.3198
2024-10-24,2024,4,10,October,North America,Mexico,Office Supplies,Binders,Home Office,17,34.76,590.92,384.62,206.3,0.3491
2024-01-08,2024,1,1,January,Europe,France,Furniture,Desks,Consumer,14,171.22,2397.08,1779.7,617.38,0.2576
2024-10-15,2024,4,10,October,Asia Pacific,Japan,Electronics,Phones,Home Office,4,1014.49,4057.96,2666.41,1391.55,0.3429
2024-07-20,2024,3,7,July,Asia Pacific,Singapore,Clothing,Men,Corporate,11,38.85,427.35,211.37,215.98,0.5054
2024-08-01,2024,3,8,August,North America,Mexico,Furniture,Chairs,Consumer,9,543.0,4887.0,3978.95,908.05,0.1858
2024-09-26,2024,3,9,September,Asia Pacific,Australia,Office Supplies,Binders,Home Office,2,15.27,30.54,16.63,13.91,0.4555
2024-11-15,2024,4,11,November,Europe,Italy,Clothing,Women,Consumer,11,88.47,973.17,601.72,371.45,0.3817
2022-04-27,2022,2,4,April,Europe,France,Clothing,Men,Corporate,8,128.96,1031.68,597.81,433.87,0.4205
2022-05-30,2022,2,5,May,North America,United States,Electronics,Laptops,Corporate,8,1337.62,10700.96,7920.77,2780.19,0.2598
2023-01-05,2023,1,1,January,North America,Canada,Furniture,Storage,Consumer,4,644.7,2578.8,2060.65,518.15,0.2009
2024-09-22,2024,3,9,September,Asia Pacific,Japan,Furniture,Chairs,Consumer,7,399.66,2797.62,1898.41,899.21,0.3214
2023-03-14,2023,1,3,March,North America,United States,Office Supplies,Appliances,Consumer,11,179.1,1970.1,1528.75,441.35,0.224
2024-08-27,2024,3,8,August,Asia Pacific,China,Clothing,Kids,Small Business,7,14.06,98.42,66.71,31.71,0.3222
2022-05-22,2022,2,5,May,Latin America,Colombia,Electronics,Laptops,Consumer,9,1369.63,12326.67,8598.69,3727.98,0.3024
2022-04-21,2022,2,4,April,Asia Pacific,Australia,Office Supplies,Writing,Consumer,3,18.0,54.0,31.94,22.06,0.4085
2024-09-13,2024,3,9,September,Latin America,Chile,Electronics,Accessories,Home Office,16,84.97,1359.52,1119.98,239.54,0.1762
2023-02-11,2023,1,2,February,Latin America,Colombia,Furniture,Storage,Small Business,3,514.22,1542.66,1089.41,453.25,0.2938
2024-07-28,2024,3,7,July,North America,Mexico,Clothing,Kids,Consumer,5,63.94,319.7,160.25,159.45,0.4987
2022-09-15,2022,3,9,September,Asia Pacific,Australia,Electronics,Phones,Home Office,15,856.97,12854.55,9902.86,2951.69,0.2296
2022-12-07,2022,4,12,December,North America,Mexico,Clothing,Footwear,Corporate,13,70.31,914.03,426.97,487.06,0.5329
2024-01-16,2024,1,1,January,North America,Mexico,Office Supplies,Paper,Consumer,1,11.15,11.15,6.15,5.0,0.4484
2023-12-22,2023,4,12,December,Asia Pacific,China,Office Supplies,Appliances,Consumer,12,251.89,3022.68,1784.98,1237.7,0.4095
2024-02-04,2024,1,2,February,Latin America,Chile,Electronics,Laptops,Consumer,6,1650.23,9901.38,6557.59,3343.79,0.3377
2022-07-23,2022,3,7,July,Europe,France,Clothing,Footwear,Corporate,3,213.04,639.12,276.88,362.24,0.5668
2022-07-24,2022,3,7,July,Asia Pacific,Singapore,Clothing,Men,Corporate,15,95.57,1433.55,943.1,490.45,0.3421
2022-08-23,2022,3,8,August,Asia Pacific,Australia,Electronics,Wearables,Corporate,7,568.12,3976.84,3448.49,528.35,0.1329
2024-02-07,2024,1,2,February,Europe,Spain,Furniture,Storage,Consumer,8,370.07,2960.56,1842.22,1118.34,0.3777
2022-01-09,2022,1,1,January,Asia Pacific,India,Clothing,Footwear,Corporate,14,25.91,362.74,148.14,214.6,0.5916
2024-05-30,2024,2,5,May,Asia Pacific,Singapore,Clothing,Kids,Consumer,8,70.24,561.92,295.14,266.78,0.4748
2024-03-10,2024,1,3,March,Asia Pacific,Australia,Clothing,Footwear,Consumer,6,115.55,693.3,347.9,345.4,0.4982
2024-03-13,2024,1,3,March,North America,United States,Electronics,Laptops,Corporate,9,2190.94,19718.46,13040.88,6677.58,0.3386
2022-11-10,2022,4,11,November,North America,United States,Electronics,Wearables,Consumer,1,432.32,432.32,329.15,103.17,0.2386
2024-01-04,2024,1,1,January,Latin America,Peru,Furniture,Desks,Home Office,6,426.84,2561.04,2029.46,531.58,0.2076
2022-04-16,2022,2,4,April,North America,Mexico,Clothing,Footwear,Small Business,9,38.08,342.72,152.86,189.86,0.554
2022-09-09,2022,3,9,September,North America,Mexico,Clothing,Men,Consumer,4,34.11,136.44,66.01,70.43,0.5162
2023-03-02,2023,1,3,March,North America,United States,Furniture,Tables,Home Office,13,182.69,2374.97,1816.3,558.67,0.2352
2024-05-09,2024,2,5,May,Europe,Spain,Clothing,Men,Consumer,13,161.25,2096.25,1263.49,832.76,0.3973
2022-03-06,2022,1,3,March,Europe,Germany,Electronics,Phones,Home Office,4,1177.12,4708.48,4135.8,572.68,0.1216
2023-06-06,2023,2,6,June,Europe,Italy,Office Supplies,Paper,Consumer,4,8.21,32.84,15.1,17.74,0.5402
2022-08-24,2022,3,8,August,North America,Mexico,Clothing,Women,Small Business,7,16.19,113.33,50.36,62.97,0.5556
2023-02-13,2023,1,2,February,North America,Mexico,Clothing,Kids,Consumer,3,47.04,141.12,81.35,59.77,0.4235
2024-03-30,2024,1,3,March,North America,Mexico,Clothing,Footwear,Corporate,7,78.52,549.64,254.66,294.98,0.5367
2023-10-01,2023,4,10,October,Asia Pacific,India,Clothing,Men,Corporate,6,145.0,870.0,613.53,256.47,0.2948
2022-08-09,2022,3,8,August,Europe,Spain,Furniture,Tables,Small Business,13,517.9,6732.7,4733.95,1998.75,0.2969
2023-06-03,2023,2,6,June,Europe,United Kingdom,Furniture,Chairs,Home Office,14,193.2,2704.8,2091.37,613.43,0.2268
2023-10-23,2023,4,10,October,Asia Pacific,Singapore,Furniture,Chairs,Consumer,14,444.4,6221.6,4022.83,2198.77,0.3534
2022-09-08,2022,3,9,September,North America,Mexico,Furniture,Desks,Small Business,1,527.79,527.79,291.84,235.95,0.4471
2022-05-16,2022,2,5,May,North America,Canada,Office Supplies,Writing,Home Office,13,6.39,83.07,43.2,39.87,0.48
2024-05-13,2024,2,5,May,North America,Mexico,Electronics,Phones,Corporate,14,551.89,7726.46,5433.49,2292.97,0.2968
2022-09-12,2022,3,9,September,North America,Canada,Furniture,Tables,Consumer,15,254.56,3818.4,2437.12,1381.28,0.3617
2022-01-10,2022,1,1,January,Europe,Italy,Electronics,Phones,Corporate,15,520.15,7802.25,6544.74,1257.51,0.1612
2022-02-03,2022,1,2,February,Europe,Italy,Clothing,Men,Consumer,3,89.88,269.64,179.46,90.18,0.3344
2023-10-04,2023,4,10,October,Europe,France,Electronics,Accessories,Consumer,16,95.72,1531.52,1106.16,425.36,0.2777
2022-07-30,2022,3,7,July,Asia Pacific,Australia,Furniture,Chairs,Small Business,1,158.13,158.13,122.21,35.92,0.2272
2022-06-30,2022,2,6,June,North America,Canada,Clothing,Footwear,Consumer,7,193.23,1352.61,892.63,459.98,0.3401
2022-03-30,2022,1,3,March,Asia Pacific,Singapore,Clothing,Men,Consumer,4,18.16,72.64,36.13,36.51,0.5026
2022-12-15,2022,4,12,December,North America,Mexico,Office Supplies,Appliances,Consumer,5,183.37,916.85,448.86,467.99,0.5104
2022-09-08,2022,3,9,September,North America,United States,Office Supplies,Appliances,Corporate,17,167.72,2851.24,1826.8,1024.44,0.3593
2023-06-25,2023,2,6,June,Asia Pacific,India,Furniture,Storage,Consumer,10,506.63,5066.3,3269.35,1796.95,0.3547
2022-06-03,2022,2,6,June,Asia Pacific,Japan,Office Supplies,Binders,Corporate,16,5.87,93.92,42.67,51.25,0.5457
2024-12-16,2024,4,12,December,North America,Canada,Electronics,Phones,Consumer,17,1065.54,18114.18,14812.45,3301.73,0.1823
2023-03-25,2023,1,3,March,North America,Canada,Office Supplies,Paper,Home Office,12,13.41,160.92,96.44,64.48,0.4007
2024-05-16,2024,2,5,May,Asia Pacific,Japan,Clothing,Women,Consumer,6,154.12,924.72,651.45,273.27,0.2955
2023-05-08,2023,2,5,May,Europe,United Kingdom,Electronics,Phones,Small Business,1,1099.39,1099.39,735.08,364.31,0.3314
2022-06-22,2022,2,6,June,North America,Mexico,Office Supplies,Writing,Consumer,12,9.2,110.4,55.17,55.23,0.5003
2022-07-20,2022,3,7,July,Europe,Italy,Furniture,Storage,Consumer,2,464.58,929.16,694.68,234.48,0.2524
2024-12-20,2024,4,12,December,Europe,France,Electronics,Laptops,Corporate,16,1585.38,25366.08,16447.06,8919.02,0.3516
2022-03-15,2022,1,3,March,North America,United States,Clothing,Women,Consumer,9,60.14,541.26,308.67,232.59,0.4297
2022-07-27,2022,3,7,July,North America,Mexico,Office Supplies,Appliances,Consumer,8,225.5,1804.0,1335.4,468.6,0.2598
2023-08-13,2023,3,8,August,North America,United States,Electronics,Laptops,Consumer,10,1994.38,19943.8,12853.84,7089.96,0.3555
2023-05-04,2023,2,5,May,Europe,Italy,Furniture,Tables,Small Business,6,401.41,2408.46,1369.82,1038.64,0.4312
2024-05-26,2024,2,5,May,North America,Canada,Electronics,Phones,Corporate,11,269.79,2967.69,2591.79,375.9,0.1267
2024-08-28,2024,3,8,August,Latin America,Argentina,Office Supplies,Paper,Corporate,1,16.18,16.18,8.6,7.58,0.4685
2024-12-11,2024,4,12,December,North America,United States,Office Supplies,Writing,Small Business,17,4.18,71.06,35.41,35.65,0.5017
2023-12-20,2023,4,12,December,North America,Canada,Clothing,Kids,Consumer,18,36.82,662.76,368.28,294.48,0.4443
2024-11-26,2024,4,11,November,Europe,United Kingdom,Clothing,Kids,Corporate,16,20.63,330.08,204.47,125.61,0.3805
2022-10-18,2022,4,10,October,Asia Pacific,China,Electronics,Wearables,Small Business,12,363.76,4365.12,2983.72,1381.4,0.3165
2024-02-13,2024,1,2,February,Asia Pacific,Australia,Furniture,Chairs,Consumer,4,532.55,2130.2,1676.1,454.1,0.2132
2023-12-16,2023,4,12,December,Asia Pacific,Australia,Clothing,Women,Consumer,11,92.12,1013.32,540.64,472.68,0.4665
